,league,team,wins,scored,xG
2,La_liga,Atletico Madrid,23,67,57.04767
3,La_liga,Valencia,22,70,55.0625
4,La_liga,Sevilla,23,71,69.526624
5,La_liga,Villarreal,16,48,56.767999
6,La_liga,Athletic Club,15,42,45.5421507
7,La_liga,Celta Vigo,13,47,58.887332
8,La_liga,Malaga,14,42,46.221008
9,La_liga,Rayo Vallecano,15,46,47.790696
10,La_liga,Espanyol,13,47,43.979193
11,La_liga,Real Sociedad,11,44,33.485197
12,La_liga,Elche,11,35,39.610853
13,La_liga,Getafe,10,33,33.9685805
14,La_liga,Levante,9,34,35.3017053
15,La_liga,Deportivo La Coruna,7,35,37.8712378
16,La_liga,Granada,7,29,37.3872751
17,La_liga,Eibar,9,34,29.5601069
18,La_liga,Almeria,8,35,38.6699445
19,La_liga,Cordoba,3,22,29.7645145
23,La_liga,Villarreal,18,44,40.488814
24,La_liga,Athletic Club,18,58,53.896614
25,La_liga,Celta Vigo,17,51,50.20347
26,La_liga,Sevilla,14,51,62.970634
27,La_liga,Malaga,12,38,45.751884
28,La_liga,Real Sociedad,13,45,47.947144
29,La_liga,Real Betis,11,34,40.1124551
30,La_liga,Valencia,11,46,50.508099
31,La_liga,Las Palmas,12,45,38.676393
32,La_liga,Espanyol,12,40,46.09186
33,La_liga,Eibar,11,49,52.916666
34,La_liga,Deportivo La Coruna,8,45,43.747087
35,La_liga,Sporting Gijon,10,40,42.5678716
36,La_liga,Granada,10,46,41.353233
37,La_liga,Rayo Vallecano,9,52,52.2594408
38,La_liga,Getafe,9,37,41.773186
39,La_liga,Levante,8,37,39.2222133
42,La_liga,Atletico Madrid,23,70,60.6589
43,La_liga,Sevilla,21,69,59.094825
44,La_liga,Villarreal,19,56,52.228737
45,La_liga,Real Sociedad,19,59,45.5836453
46,La_liga,Athletic Club,19,53,51.081266
47,La_liga,Espanyol,15,49,32.5531964
48,La_liga,Alaves,14,41,42.6011055
49,La_liga,Eibar,15,56,42.980348
50,La_liga,Malaga,12,49,40.369334
51,La_liga,Valencia,13,56,50.339573
52,La_liga,Celta Vigo,13,53,40.480753
53,La_liga,Las Palmas,10,53,40.796914
54,La_liga,Real Betis,10,41,35.715405
55,La_liga,Deportivo La Coruna,8,43,40.9953521
56,La_liga,Leganes,8,36,33.1895923
57,La_liga,Sporting Gijon,7,42,36.354798
58,La_liga,Osasuna,4,40,33.129606
59,La_liga,Granada,4,30,29.6861142
61,La_liga,Atletico Madrid,23,58,50.29048
63,La_liga,Valencia,22,65,57.7633736
64,La_liga,Villarreal,18,57,55.669446
65,La_liga,Real Betis,18,60,46.715464
66,La_liga,Sevilla,17,49,61.491078
67,La_liga,Getafe,15,42,49.029457
68,La_liga,Eibar,14,44,41.42352
69,La_liga,Girona,14,50,52.098753
70,La_liga,Celta Vigo,13,59,54.5900082
71,La_liga,Espanyol,12,36,41.576662
72,La_liga,Real Sociedad,14,66,56.348762
73,La_liga,Alaves,15,40,37.879523
74,La_liga,Levante,11,44,44.202161
75,La_liga,Athletic Club,10,41,51.785618
76,La_liga,Leganes,12,34,39.2569609
77,La_liga,Deportivo La Coruna,6,38,49.775169
78,La_liga,Las Palmas,5,24,37.8752152
79,La_liga,Malaga,5,24,35.876437
81,La_liga,Atletico Madrid,22,55,51.872324
82,La_liga,Real Madrid,21,63,68.654773
83,La_liga,Valencia,15,51,61.884949
84,La_liga,Sevilla,17,62,69.162306
85,La_liga,Getafe,15,48,47.034178
